TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,boolean,ft,ft,state,A,pct,state,cmd,boolean,
408.277496,,1.46875,8.571429252624512,11.3,,,,-1.0,0.18994140625,,,34.61620012248721,0.0,-1.0,,0.05039715766906738,,,,18.17371726716024,0.0,1.0,,,0.005326000000025033,0.0,,,,,,2.125,,,0.0,0.21875,,0.07089449465274811,6.516061377657153,-1.0,0.344970703125,0.0,,55.0,34.61620012248721,,6.9321673654688345,,,,,0.465087890625,,0.38637328147888184,7.0,,0.0,,0.0,48.0,,8.0,,1.0,,,,0.0,0.07089449465274811,,,-1.0,
408.297404,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.019907999999986714,,,,,,,,,,,,,,,,,,,,,,,,
408.297703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.297404,,9.09375,10.857144355773926,11.3,,,,-1.0,0.18994140625,,,37.003524268865654,0.0,-1.0,,0.05039715766906738,,,,18.17371726716024,0.0,1.0,,,0.0036820000000261643,0.0,,,,,,9.65625,,,0.0,11.4375,,0.07089449465274811,6.516061377657153,-1.0,0.344970703125,0.0,,96.0,37.003524268865654,,6.9321673654688345,,,,,0.465087890625,,0.33032193779945374,9.75,,0.0,,0.0,52.0,,9.714285850524902,,1.0,,,,0.0,0.07614368200302124,,,-1.0,
408.317242,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.01983800000004976,,,,,,,,,,,,,,,,,,,,,,,,
408.3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.317242,,12.15625,10.857144355773926,11.25,,,79.70312162235193,-1.0,0.18994140625,,,39.39084841524407,0.0,-1.0,,0.05039715766906738,,,,18.17371726716024,0.0,1.0,,,0.0033169999999813626,0.0,,86.1,,,,7.8125,,,0.0,10.28125,,0.07614368200302124,6.516061377657153,-1.0,0.344970703125,0.0,,137.0,39.39084841524407,,6.9321673654688345,,,,,0.465087890625,96.2,0.3276676535606384,14.3125,,0.0,,0.0,56.0,,9.714285850524902,,1.0,,,,0.0,0.08139286190271378,,,-1.0,
408.337548,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.228516599999999,,,0.0,,,,,,,,,,,,0.020306000000005042,,,,,,,,,,,,,,,,,,,,,,,,
408.337694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.337548,,12.21875,13.714286804199219,11.25,,,,-1.0,0.18994140625,,,41.778172561622455,0.0,-1.0,,0.05039715766906738,,,,18.17371726716024,0.0,1.0,,,0.003505999999958931,0.0,,,,,,5.53125,,,0.0,3.6875,,0.08139286190271378,6.516061377657153,-1.0,0.344970703125,0.0,,181.0,41.778172561622455,,6.9321673654688345,,,,,0.465087890625,,0.33624476194381714,12.875,,0.0,,0.0,60.0,,12.571428298950195,,1.0,,,,0.0,0.08664204925298691,,,-1.0,
408.357054,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.019505999999978485,,,,,,,,,,,,,,,,,,,,,,,,
408.357466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.357054,,10.3125,17.142858505249023,11.3,,,,-1.0,0.18994140625,,,44.16549670800096,0.0,-1.0,,0.05039715766906738,,,,18.17371726716024,0.0,1.0,,,0.0037550000000123873,0.0,,,,,,2.5,,,0.0,0.5,,0.08664204925298691,6.516061377657153,-1.0,0.344970703125,0.0,,222.0,44.16549670800096,,6.9321673654688345,,,,,0.465087890625,,0.3487524688243866,9.03125,,0.0,,0.0,64.0,,16.0,,1.0,,,,0.0,0.09189122915267944,,,-1.0,
408.37832,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.0212659999999687,,,,,,,,,,,,,,,,,,,,,,,,
408.378494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.37832,,5.03125,17.142858505249023,11.25,,,,-1.0,0.18994140625,,,46.55282085437934,0.0,-1.0,,0.051952362060546875,,,,18.15832802365301,0.0,1.0,,,0.006783000000041284,0.0,,,,,,8.96875,,,0.0,7.90625,,0.09714041650295258,6.582501294747249,-1.0,0.344970703125,0.0,,14.0,46.55282085437934,,6.9321673654688345,,,,,0.465087890625,,0.32492074370384216,14.3125,,0.0,,0.0,44.0,,16.0,,1.0,,,,0.0,0.09714041650295258,,,-1.0,
408.397111,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.01879100000002154,,,,,,,,,,,,,,,,,,,,,,,,
